"R66","L'esposizione ripetuta puo' provocare secchezza e screpolatura della pelle","1.2"
"R67","L'inalazione dei vapori puo' provocare sonnolenza e vertigini","1.2"
"R68","Possibilita' di effetti irreversibili","1.6"
"R14/15","Reagisce violentemente con l'acqua liberando gas estremamente infiammabili","1.6"
"R15/21","A contatto con l'acqua libera gas tossici estremamente infiammabili","1.6"
"R20/21","Nocivo per inalazione e contatto con la pelle","1.6"
"R20/22","Nocivo per inalazione e ingestione","1.6"
"R20/21/22","Nocivo per inalazione, contatto con la pelle e ingestione","1.6"
"R21/22","Nocivo per contatto con la pelle e ingestione","1.6"
"R23/24","Tossico per inalazione e contatto con la pelle","2"
"R23/25","Tossico per inalazione e ingestione","2"
"R23/24/25","Tossico per inalazione, contatto con la pelle e per ingestione","2"
"R24/25","Tossico a contatto con la pelle e per ingestione","2"
"R26/27","Molto tossico per inalazione e contatto con la pelle","2.5"
"R26/27/28","Molto tossico per inalazione, contatto con la pelle e per ingestione","2.5"
"R27/28","Molto tossico a contatto con la pelle e per ingestione","2.5"
"R36/37","Irritante per gli occhi e le vie respiratorie","1.2"
"R36/38","Irritante per gli occhi e la pelle","1.2"
"R36/37/38","irritante per gli occhi, le vie respiratorie e la pelle","1.2"
"R37/38","irritante per le vie respiratorie e la pelle","1.2"
"R39/23","Tossico: pericolo di effetti irreversibili molto gravi per inalazione","2"
"R39/24","Tossico: pericolo di effetti irreversibili molto gravi a contatto con la pelle","2"
"R39/25","Tossico: pericolo di effetti irreversibili molto gravi per ingestione","2"
"R39/23/24","Tossico: pericolo di effetti irreversibili molto gravi per inalazione e a contatto con la pelle","2"
"R39/23/25","Tossico: pericolo di effetti irreversibili molto gravi per inalazione e per ingestione","2"
"R39/24/25","Tossico: pericolo di effetti irreversibili molto gravi a contatto con la pelle e per ingestione","2"
"R39/23/24/25","Tossico: pericolo di effetti irreversibili molto gravi per inalazione, contatto con la pelle e per ingestione","2"
"R39/26","Molto tossico: pericolo di effetti irreversibili molto gravi per inalazione","2.5"
"R39/27","Molto tossico: pericolo di effetti irreversibili molto gravi a contatto con la pelle","2.5"
"R39/28","Molto tossico: pericolo di effetti irreversibili molto gravi per ingestione","2.5"
"R39/26/27","Molto tossico: pericolo di effetti irreversibili molto gravi per inalazione e contatto con la pelle","2.5"
"R39/26/28","Molto tossico: pericolo di effetti irreversibili molto gravi per inalazione ed ingestione","2.5"
"R39/27/28","Molto tossico: pericolo di effetti irreversibili molto gravi a contatto con la pelle e per inalazione","2.5"
"R39/26/27/28","Molto tossico: pericolo di effetti irreversibili molto gravi per inalazione,  contatto con la pelle e per inalazione","2.5"
"R40/20","Nocivo: possibilità di effetti irreversibili per inalazione","1.6"
"R40/21","Nocivo: possibilità di effetti irreversibili per inalazione","1.6"
"R40/22","Nocivo: possibilità di effetti irreversibili per ingestione","1.6"
"R40/20/21","Nocivo: possibilità di effetti irreversibili per inalazione e contatto con la pelle","1.6"
"R40/20/22","Nocivo: possibilità di effetti irreversibili per ingestione","1.6"
"R40/21/22","Nocivo: possibilità di effetti irreversibili a contatto con la pelle e per ingestione","1.6"
"R40/20/21/22","Nocivo: possibilità di effetti irreversibili per inalazione, contatto con la pelle e per ingestione","1.6"
"R42/43","Può provocare sensibilizzazione per inalazione e contatto con la pelle","1.2"
"R48/20","Nocivo: pericolo di gravi danni alla salute in caso di esposizione prolungata per inalazione","1.6"
"R48/21","Nocivo: pericolo di gravi danni alla salute in caso di esposizione prolungata a contatto con la pelle","1.6"
"R48/22","Nocivo: pericolo di gravi danni alla salute in caso di esposizione prolungata per ingestione","1.6"
"R48/20/21","Nocivo: pericolo di gravi danni alla salute in caso di esposizione prolungata per inalazione e a contatto con la pelle","1.6"
"R48/20/22","Nocivo: pericolo di gravi danni alla salute in caso di esposizione prolungata per inalazione e ingestione","1.6"
"R48/21/22","Nocivo: pericolo di gravi danni alla salute in caso di esposizione prolungata a contatto con la pelle e ingestione","1.6"
"R48/20/21/22","Nocivo: pericolo di gravi danni alla salute in caso di esposizione prolungata per inalazione, a contatto con la pelle e per ingestione","1.6"
"R48/23","Nocivo: pericolo di gravi danni alla salute in caso di esposizione prolungata per inalazione","1.6"
"R48/24","Nocivo: pericolo di gravi danni alla salute in caso di esposizione prolungata per contatto con la pelle","1.6"
"R48/25","Tossico: pericolo di gravi danni alla salute in caso di esposizione prolungata per ingestione","2"
"R48/23/24","Tossico: pericolo di gravi danni alla salute in caso di esposizione prolungata per inalazione e a contatto con la pelle","2"
"R48/23/25","Tossico: pericolo di gravi danni alla salute in caso di esposizione prolungata per inalazione e ingestione","2"
"R48/24/25","Tossico: pericolo di gravi danni alla salute in caso di esposizione prolungata a contatto con la pelle e ingestione","2"
"R48/23/24/25","Tossico: pericolo di gravi danni alla salute in caso di esposizione prolungata per inalazione, a contatto con la pelle e ingestione","2"
"R50/53","Altamente tossico per gli organismi acquatici, può provocare a lungo termine effetti negativi per l'ambiente acquatico","0"
"R51/53","Tossico per gli organismi acquatici, può provocare a lungo termine effetti negativi per l'ambiente acquatico","0"
"R52/53","Nocivo per gli organismi acquatici, può provocare a lungo termine effetti negativi per l'ambiente acquatico","0"
